ID;Tema_Projeto;Tipo_Formato;Fonte_Dados_1;Fonte_Dados_2;N_Registros;Variavel_Principal;Variavel_Secundaria;Insight_Esperado;Ferramenta_ETL;Ferramenta_Viz;Complexidade;Regiao_Foco;Periodo_Dados;Publico_Alvo;Aplicacao_Comunicacao
1;Consumo de Streaming no Brasil;Dashboard Power BI;IBGE Pnad Contínua;Kantar Ibope;2500;Horas_Streaming_Dia;Faixa_Etaria;Jovens 18-24 lideram consumo de streaming com 4h/dia;OpenRefine;Power BI;Intermediário;Nacional;2023-2025;Diretores de mídia;Planejamento de mídia
2;Fake News nas Eleições;Flourish Story;TSE Dados Abertos;Agência Lupa;1800;Desinformacao_Detectadas;Plataforma;WhatsApp concentra 62% das fake news eleitorais;Google Sheets;Flourish;Avançado;Nacional;2022-2024;Eleitores e jornalistas;Reportagem investigativa
3;Mercado Publicitário Digital;Infográfico Canva;IAB Brasil;Cenp-Meios;1200;Investimento_Digital_R$;Canal_Digital;Mídia programática cresce 35% ao ano;Excel;Canva;Básico;Nacional;2021-2025;Profissionais de marketing;Relatório de mercado
4;Saúde Mental e Redes Sociais;Dashboard Power BI;DATASUS;Pesquisa própria (Google Forms);800;Indice_Ansiedade;Horas_Redes_Sociais;Correlação positiva entre uso >4h/dia e ansiedade;Orange;Power BI;Avançado;Sudeste;2024-2025;Profissionais de saúde e educação;Campanha de conscientização
5;Turismo Gastronômico Regional;Flourish Story;IBGE Cidades;TripAdvisor (scraping ético);950;Avaliacao_Media;Tipo_Culinaria;Culinária nordestina tem maior crescimento de avaliações;Google Sheets;Flourish;Intermediário;Nordeste;2023-2025;Turistas e investidores;Matéria especial
6;Acessibilidade em Sites de Notícias;Infográfico Canva;WAVE Tool;Alexa Rankings Brasil;500;Score_Acessibilidade;Tipo_Veiculo;Apenas 23% dos portais de notícias atendem WCAG 2.1;Excel;Canva;Básico;Nacional;2025;Editores e desenvolvedores;Reportagem de serviço
7;Podcast Brasileiro em Números;Dashboard Power BI;Spotify for Podcasters;Podtrac;1500;Downloads_Mensais;Genero_Podcast;True Crime e Comédia lideram downloads;OpenRefine;Power BI;Intermediário;Nacional;2022-2025;Produtores de conteúdo;Análise de mercado
8;Desigualdade Digital por Região;Flourish Story;IBGE Pnad;Anatel;2700;Acesso_Internet_%;Regiao;Norte tem 30% menos acesso que Sudeste;Google Sheets;Flourish;Intermediário;Nacional;2020-2025;Gestores públicos;Reportagem data-driven
9;Influenciadores e Conversão;Infográfico Canva;Social Blade;Google Analytics (simulado);600;Taxa_Conversao;Nicho_Influenciador;Micro-influenciadores convertem 3x mais que macro;Excel;Canva;Básico;Nacional;2024-2025;Gerentes de marketing;Briefing para campanha
10;Violência Contra Jornalistas;Flourish Story;Abraji;RSF;400;Casos_Agressao;Tipo_Violencia;Agressões online cresceram 180% desde 2020;Google Sheets;Flourish;Avançado;Nacional;2018-2025;Jornalistas e sociedade;Reportagem especial
11;E-commerce e Comportamento;Dashboard Power BI;E-bit Nielsen;Google Trends;3200;Ticket_Medio_R$;Categoria_Produto;Eletrônicos e moda lideram vendas online;OpenRefine;Power BI;Intermediário;Nacional;2022-2025;Varejistas e marketeiros;Dashboard comercial
12;Representatividade na TV;Infográfico Canva;GEMAA/UERJ;Kantar Ibope;700;Personagens_Negros_%;Emissora;Representatividade cresceu de 18% para 31% em 5 anos;Excel;Canva;Básico;Nacional;2019-2025;Produtores de TV e anunciantes;Relatório de diversidade
