ID;Podcast;Plataforma;Genero_Conteudo;Episodios_Mensais;Ouvintes_Medios;Downloads_Mensais;Taxa_Retencao_%;Nota_Avaliacao;Patrocinadores;Receita_Mensal_R$;Regiao_Principal;Faixa_Etaria_Predominante;Formato;Duracao_Media_Min;Ano_Lancamento;Rede_Social_Principal;Seguidores_Rede;Engajamento_Rede_%;Tema_Episodio_Top
1;DataCast Brasil;Spotify;Tecnologia;8;45000;120000;72.3;4.6;3;18500;Sudeste;25-34;Entrevista;45;2021;Instagram;85000;3.2;IA no Jornalismo
2;Podcast da Redação;Apple Podcasts;Jornalismo;12;32000;85000;68.5;4.3;2;12000;Sudeste;35-44;Mesa Redonda;60;2020;Twitter;120000;2.8;Fake News e Verificação
3;Marketing Sem Filtro;Spotify;Marketing;4;28000;65000;75.1;4.7;5;22000;Sul;25-34;Solo;30;2022;LinkedIn;45000;4.1;Growth Hacking
4;Comunicação Total;YouTube;Comunicação;8;15000;38000;62.4;4.1;1;8500;Nordeste;18-24;Entrevista;50;2023;Instagram;32000;5.3;RP Digital
5;Dados e Cafézinho;Spotify;Ciência de Dados;4;52000;145000;78.9;4.8;4;25000;Sudeste;25-34;Dupla;40;2020;Twitter;95000;3.5;Python para Iniciantes
6;Publicidade na Prática;Apple Podcasts;Publicidade;8;18000;42000;65.2;4.0;2;9800;Sudeste;25-34;Mesa Redonda;55;2021;Instagram;28000;4.6;Criatividade com IA
7;Trend Alert;Spotify;Tendências;12;38000;98000;71.0;4.5;3;15500;Sul;18-24;Solo;25;2022;TikTok;210000;7.8;Tendências TikTok 2026
8;Voz da Notícia;Deezer;Jornalismo;20;25000;55000;58.3;3.9;1;7200;Nordeste;35-44;Solo;15;2019;Twitter;65000;2.1;Cobertura Eleitoral
9;BI para Todos;Spotify;Business Intelligence;4;42000;110000;80.2;4.9;6;28000;Sudeste;25-34;Entrevista;50;2021;LinkedIn;72000;5.5;Dashboard que Funciona
10;Histórias em Dados;Apple Podcasts;Data Storytelling;4;35000;88000;76.5;4.7;3;19000;Sul;25-34;Narrativa;35;2022;Instagram;55000;4.2;Storytelling Spotify Wrapped
11;Social Media Lab;Spotify;Redes Sociais;8;22000;48000;63.8;4.2;2;11000;Sudeste;18-24;Dupla;40;2023;Instagram;78000;6.1;Algoritmo do Instagram
12;Código Aberto;YouTube;Tecnologia;4;65000;180000;82.1;4.8;5;32000;Sudeste;25-34;Entrevista;90;2019;Twitter;150000;3.0;Open Source no Brasil
13;Métricas & Manhãs;Spotify;Analytics;8;19000;45000;69.7;4.3;2;10500;Centro-Oeste;25-34;Solo;30;2023;LinkedIn;22000;3.8;GA4 para Comunicadores
14;Pauta Digital;Apple Podcasts;Jornalismo Digital;12;41000;105000;73.6;4.5;3;17500;Sudeste;25-34;Mesa Redonda;55;2020;Twitter;88000;2.9;Jornalismo de Dados
15;Criativo de Dados;Spotify;Publicidade;4;16000;35000;60.1;3.8;1;6800;Norte;18-24;Solo;25;2024;Instagram;15000;5.8;Mídia Programática
